id_turma,id_aluno,id_curso,media,faltas,situacao,id_matricula
201621,2014022411,6895,7,10,APROVADO,6660
201621,2014022412,6895,8,6,APROVADO,6661
201621,2014022413,6895,9,2,APROVADO,6662
201621,2014022414,6895,10,0,APROVADO,6663
201621,2014022415,6895,3,20,REPROVADO,6664
201621,2014022416,6895,7,10,APROVADO,6665
201622,2014022411,6895,8,6,APROVADO,6666
201622,2014022412,6895,9,2,APROVADO,6667
201622,2014022413,6895,10,0,APROVADO,6668
201622,2014022414,6895,7,10,APROVADO,6669
201622,2014022415,6895,8,6,APROVADO,6670
201622,2014022416,6895,9,2,APROVADO,6671
201623,2014022411,6895,10,0,APROVADO,6672
201623,2014022412,6895,2,25,REPROVADO,6673
201623,2014022413,6895,7,10,APROVADO,6674
201623,2014022414,6895,8,6,APROVADO,6675
201623,2014022415,6895,9,2,APROVADO,6676
201623,2014022416,6895,10,0,APROVADO,6677
201624,2014022411,6895,1,30,REPROVADO,6678
201624,2014022412,6895,7,10,APROVADO,6679
201624,2014022413,6895,8,6,APROVADO,6680
201624,2014022414,6895,9,2,APROVADO,6681
201624,2014022415,6895,10,0,APROVADO,6682
201624,2014022416,6895,0,30,REPROVADO,6683
201625,2014022411,6895,8,6,APROVADO,6684
201625,2014022412,6895,9,2,APROVADO,6685
201625,2014022413,6895,10,0,APROVADO,6686
201625,2014022414,6895,9,2,APROVADO,6687
201625,2014022415,6895,7,10,APROVADO,6688
201625,2014022416,6895,8,6,APROVADO,6689
201626,2014022411,6895,9,2,APROVADO,6690
201626,2014022412,6895,10,0,APROVADO,6691
201626,2014022413,6895,4,20,REPROVADO,6692
201626,2014022414,6895,7,10,APROVADO,6693
201626,2014022415,6895,8,6,APROVADO,6694
201626,2014022416,6895,9,2,APROVADO,6695
201627,2014022411,6895,10,0,APROVADO,6696
201627,2014022412,6895,7,10,APROVADO,6697
201627,2014022413,6895,8,6,APROVADO,6698
201627,2014022414,6895,9,2,APROVADO,6699
201627,2014022415,6895,10,0,APROVADO,6700
