id_turma,id_aluno,id_curso,media,faltas,situacao,id_matricula
201611,2014022411,6895,7,10,APROVADO,6620
201611,2014022412,6895,8,6,APROVADO,6621
201611,2014022413,6895,9,2,APROVADO,6622
201611,2014022414,6895,10,0,APROVADO,6623
201611,2014022415,6895,3,20,REPROVADO,6624
201611,2014022416,6895,7,10,APROVADO,6625
201612,2014022411,6895,8,6,APROVADO,6626
201612,2014022412,6895,9,2,APROVADO,6627
201612,2014022413,6895,10,0,APROVADO,6628
201612,2014022414,6895,7,10,APROVADO,6629
201612,2014022415,6895,8,6,APROVADO,6630
201612,2014022416,6895,9,2,APROVADO,6631
201613,2014022411,6895,10,0,APROVADO,6632
201613,2014022412,6895,2,25,REPROVADO,6633
201613,2014022413,6895,7,10,APROVADO,6634
201613,2014022414,6895,8,6,APROVADO,6635
201613,2014022415,6895,9,2,APROVADO,6636
201613,2014022416,6895,10,0,APROVADO,6637
201614,2014022411,6895,1,30,REPROVADO,6638
201614,2014022412,6895,7,10,APROVADO,6639
201614,2014022413,6895,8,6,APROVADO,6640
201614,2014022414,6895,9,2,APROVADO,6641
201614,2014022415,6895,10,0,APROVADO,6642
201614,2014022416,6895,0,30,REPROVADO,6643
201615,2014022411,6895,8,6,APROVADO,6644
201615,2014022412,6895,9,2,APROVADO,6645
201615,2014022413,6895,10,0,APROVADO,6646
201615,2014022414,6895,9,2,APROVADO,6647
201615,2014022415,6895,7,10,APROVADO,6648
201615,2014022416,6895,8,6,APROVADO,6649
201616,2014022411,6895,9,2,APROVADO,6650
201616,2014022412,6895,10,0,APROVADO,6651
201616,2014022413,6895,4,20,REPROVADO,6652
201616,2014022414,6895,7,10,APROVADO,6653
201616,2014022415,6895,8,6,APROVADO,6654
201616,2014022416,6895,9,2,APROVADO,6655
201617,2014022411,6895,10,0,APROVADO,6656
201617,2014022412,6895,7,10,APROVADO,6657
201617,2014022413,6895,8,6,APROVADO,6658
201617,2014022414,6895,9,2,APROVADO,6659
201617,2014022415,6895,10,0,APROVADO,6660
