id_turma;codigo_turma;id_docente_interno;id_docente_externo;id_componente_curricular;nivel_ensino;ano;periodo;capacidade_aluno;tipo;qtd_aulas_lancadas;situacao_turma;modalidade_participantes
1217099;1;18225;;52922;LATO SENSU;2015;1;26;REGULAR;15;CONSOLIDADA;Presencial
1217100;1;18695;;52921;LATO SENSU;2015;1;26;REGULAR;8;CONSOLIDADA;Presencial
1217101;1;5753068;;52925;LATO SENSU;2015;1;26;REGULAR;30;CONSOLIDADA;Presencial
1217102;1;;109565745;52920;LATO SENSU;2015;1;26;REGULAR;24;CONSOLIDADA;Presencial
1217102;1;;109565716;52920;LATO SENSU;2015;1;26;REGULAR;24;CONSOLIDADA;Presencial
1237217;1;26152;;55558;LATO SENSU;2015;1;12;REGULAR;0;CONSOLIDADA;Presencial
1237222;1;5753866;;55563;LATO SENSU;2015;1;12;REGULAR;0;CONSOLIDADA;Presencial
1239193;1;;105114315;56346;TÉCNICO;2015;1;40;REGULAR;;EXCLUÍDA;Presencial
1239196;1;;106944901;56340;TÉCNICO;2015;1;40;REGULAR;58;CONSOLIDADA;Presencial
1239203;1;;105135549;57142;TÉCNICO;2015;1;40;REGULAR;;EXCLUÍDA;Presencial
1239272;1;5756213;;52656;GRADUAÇÃO;2015;1;60;REGULAR;;EXCLUÍDA;Presencial
1239275;1;5757161;;2041854;GRADUAÇÃO;2015;1;45;REGULAR;34;CONSOLIDADA;Presencial
1239275;1;22932;;2041854;GRADUAÇÃO;2015;1;45;REGULAR;34;CONSOLIDADA;Presencial
1239275;1;1574976;;2041854;GRADUAÇÃO;2015;1;45;REGULAR;34;CONSOLIDADA;Presencial
1239276;1;5757037;;2045600;GRADUAÇÃO;2015;1;40;REGULAR;87;CONSOLIDADA;Presencial
1239276;1;5752774;;2045600;GRADUAÇÃO;2015;1;40;REGULAR;87;CONSOLIDADA;Presencial
1239278;01A;5754337;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239278;01A;5752702;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239278;01A;5756586;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239278;01A;5756456;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239279;01B;5754337;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239279;01B;5756456;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239279;01B;5756586;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239280;01C;5752702;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239280;01C;5756586;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239280;01C;5756456;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239281;01D;5756586;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239281;01D;5754337;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239281;01D;5756456;;2045601;GRADUAÇÃO;2015;1;10;REGULAR;212;CONSOLIDADA;Presencial
1239283;01A;5757161;;2045603;GRADUAÇÃO;2015;1;21;REGULAR;51;CONSOLIDADA;Presencial
1239283;01A;25924;;2045603;GRADUAÇÃO;2015;1;21;REGULAR;51;CONSOLIDADA;Presencial
1239284;01B;25924;;2045603;GRADUAÇÃO;2015;1;20;REGULAR;51;CONSOLIDADA;Presencial
1239284;01B;5757161;;2045603;GRADUAÇÃO;2015;1;20;REGULAR;51;CONSOLIDADA;Presencial
1239286;01A;5753016;;2045604;GRADUAÇÃO;2015;1;7;REGULAR;57;CONSOLIDADA;Presencial
1239286;01A;5756989;;2045604;GRADUAÇÃO;2015;1;7;REGULAR;57;CONSOLIDADA;Presencial
1239286;01A;26267;;2045604;GRADUAÇÃO;2015;1;7;REGULAR;57;CONSOLIDADA;Presencial
1239286;01A;5753007;;2045604;GRADUAÇÃO;2015;1;7;REGULAR;57;CONSOLIDADA;Presencial
1239286;01A;5756676;;2045604;GRADUAÇÃO;2015;1;7;REGULAR;57;CONSOLIDADA;Presencial
1239287;01B;5753007;;2045604;GRADUAÇÃO;2015;1;7;REGULAR;57;CONSOLIDADA;Presencial
1239287;01B;26267;;2045604;GRADUAÇÃO;2015;1;7;REGULAR;57;CONSOLIDADA;Presencial
